"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)"
379.2,0.0451422903792,379.2,0.0161258869306,379.2,0.0172899977111,379.2,0.0204196231022,379.2,0.0291462577249
379.9,0.0581582360571,379.9,0.0157016861219,379.9,0.0165270466163,379.9,0.0240207522698,379.9,0.0353871976806
380.5,0.0586770428016,380.5,0.0158496986343,380.5,0.0147875181201,380.5,0.023395132372,380.5,0.0330678263523
381.1,0.0454322117952,381.1,0.0155300221256,381.1,0.0179766536965,381.1,0.0217471580072,381.1,0.02749828336
381.8,0.0292729076066,381.8,0.0155033188373,381.8,0.0171984435798,381.8,0.0181460288396,381.8,0.0154894331273
382.4,0.064521248188,382.4,0.0163128099489,382.4,0.0182665751125,382.4,0.030185397116,382.4,0.0478995956359
383.1,0.0387487602045,383.1,0.0162105745022,383.1,0.0147875181201,383.1,0.0165438315404,383.1,0.018052948806
383.7,0.0405798428321,383.7,0.0153453879606,383.7,0.0169390402075,383.7,0.0181918059052,383.7,0.0186785687037
384.4,0.0437537193866,384.4,0.0154888227665,384.4,0.0181902800031,384.4,0.0222964827955,384.4,0.0295277332723
385,0.0441504539559,385,0.0152828259709,385,0.0160692759594,385,0.0216708628977,385,0.0262775616083
385.7,0.0338963912413,385.7,0.0151973754482,385.7,0.0152605477989,385.7,0.0160708018616,385.7,0.0168780041199
386.3,0.029074540322,386.3,0.0150501258869,386.3,0.0160387579156,386.3,0.0110811017014,386.3,0.0102861066606
387,0.0376043335622,387,0.0151424429694,387,0.0154741741054,387,0.0179018844892,387,0.0219439993896
387.6,0.0610421911955,387.6,0.0161617456321,387.6,0.0181139848936,387.6,0.0241123064012,387.6,0.0361043717098
388.3,0.0708537422751,388.3,0.0159794003204,388.3,0.0176256961929,388.3,0.0246768902113,388.3,0.032976272221
388.9,0.0940474555581,388.9,0.0160228885328,388.9,0.0194262607767,388.9,0.0293461509117,388.9,0.0479758907454
389.6,0.0446845197223,389.6,0.0159305714504,389.6,0.0174273289082,389.6,0.0236392767224,389.6,0.030611123827
390.2,0.0338048371099,390.2,0.0154842450599,390.2,0.0159929808499,390.2,0.0179018844892,390.2,0.0187090867475
390.8,0.0379095140002,390.8,0.0153194476234,390.8,0.0179613946746,390.8,0.0211673151751,390.8,0.02484321355
391.5,0.0398168917372,391.5,0.0152950331884,391.5,0.0167711909667,391.5,0.0193667505913,391.5,0.0289173723964
392.1,0.0361089494163,392.1,0.0155086594949,392.1,0.0153521019303,392.1,0.0163607232776,392.1,0.0187396047913
392.8,0.0426855878538,392.8,0.0155963988708,392.8,0.015535210193,392.8,0.0214572365911,392.8,0.0243244068055
393.4,0.031439688716,393.4,0.0153842984665,393.4,0.0156572823682,393.4,0.0168337529564,393.4,0.0149706263828
394.1,0.0414038300145,394.1,0.0156368352789,394.1,0.0153063248646,394.1,0.017047379263,394.1,0.0240344853895
394.7,0.0476142519265,394.7,0.0153408102541,394.7,0.0166033417258,394.7,0.0203738460365,394.7,0.0282612344549
395.4,0.051673151751,395.4,0.0156040283818,395.4,0.020112916762,395.4,0.026797894255,395.4,0.0316182192721
396,0.108055237659,396,0.0158558022431,396,0.0190753032731,396,0.0299107347219,396,0.03932402533
396.7,0.214364843214,396.7,0.0163776607919,396.7,0.0175951781491,396.7,0.0361211566339,396.7,0.0754726482033
397.3,0.0786205844205,397.3,0.0164325932708,397.3,0.0203418020905,397.3,0.0328404669261,397.3,0.0464194705119
398,0.0446387426566,398,0.0157146562905,398,0.0158861676967,398,0.0226016632334,398,0.0302601663233
398.6,0.0537636377508,398.6,0.0152690928511,398.6,0.0177325093462,398.6,0.0216861219196,398.6,0.0299549858854
399.3,0.0324315251392,399.3,0.0160106813153,399.3,0.0156572823682,399.3,0.0150179293507,399.3,0.0146654459449
399.9,0.0330876630808,399.9,0.0154026092927,399.9,0.015840390631,399.9,0.0143770504311,399.9,0.0181139848936
400.5,0.0437232013428,400.5,0.0161739528496,400.5,0.0178850995651,400.5,0.0229983978027,400.5,0.0327168688487
401.2,0.0378789959564,401.2,0.0154682230869,401.2,0.0176714732586,401.2,0.0186495765621,401.2,0.0222186617838
401.8,0.02551918822,401.8,0.0150959029526,401.8,0.0118730449378,401.8,0.0112489509422,401.8,0.00991989013504
402.5,0.0518410009918,402.5,0.0159900816358,402.5,0.0166033417258,402.5,0.0323369192035,402.5,0.0409567406729
403.1,0.0444556343938,403.1,0.015678034638,403.1,0.0153673609522,403.1,0.0225406271458,403.1,0.0300923170825
403.8,0.0343389028763,403.8,0.0158962386511,403.8,0.0158251316091,403.8,0.0178866254673,403.8,0.0211657892729
404.4,0.0257175555047,404.4,0.0152820630198,404.4,0.017305256733,404.4,0.0159639887083,404.4,0.0157183184558
405.1,0.0422735942626,405.1,0.0153904020752,405.1,0.0179156176089,405.1,0.0243869687953,405.1,0.0270405127031
405.7,0.0350560769055,405.7,0.0154743266957,405.7,0.0175036240177,405.7,0.0220981155108,405.7,0.0224322880903
406.4,0.033942168307,406.4,0.0149822232395,406.4,0.0157488364996,406.4,0.0173678187228,406.4,0.0216693369955
407,0.0343389028763,407,0.015179064622,407,0.0124528877699,407,0.0155062180514,407,0.0176562142367
407.7,0.0448828870069,407.7,0.0155368886854,407.7,0.0148332951858,407.7,0.0208468757153,407.7,0.0248126955062
408.3,0.0986251621271,408.3,0.0159244678416,408.3,0.017747768368,408.3,0.024142824445,408.3,0.0374776836805
409,0.368786144808,409,0.016748455024,409,0.0195178149081,409,0.0556527046616,409,0.136447699702
409.6,0.751589227131,409.6,0.0170841535058,409.6,0.0265217059586,409.6,0.113926909285,409.6,0.288091859312
410.2,0.0851667048142,410.2,0.0155407034409,410.2,0.0135667963684,410.2,0.0163912413214,410.2,0.0252399481193
410.9,0.0420141908904,410.9,0.0152431525139,410.9,0.0173662928206,410.9,0.0195193408103,410.9,0.0236377508202
411.5,0.0282352941176,411.5,0.0155117112993,411.5,0.016725413901,411.5,0.0181765468833,411.5,0.0164965285725
412.2,0.0391607537957,412.2,0.0158504615854,412.2,0.0175341420615,412.2,0.0221286335546,412.2,0.024690623331
412.8,0.0268925001907,412.8,0.0150356298161,412.8,0.0132921339742,412.8,0.0148653391318,412.8,0.0161150530251
413.5,0.026266880293,413.5,0.0149089799344,413.5,0.0154436560616,413.5,0.0171389333944,413.5,0.0208758678569
414.1,0.0236575875486,414.1,0.0152622262913,414.1,0.0142839703975,414.1,0.0138887617304,414.1,0.00953841458762
414.8,0.0398168917372,414.8,0.0157138933394,414.8,0.0167864499886,414.8,0.0201602197299,414.8,0.0291004806592
415.4,0.0193698023957,415.4,0.0153636987869,415.4,0.014360265507,415.4,0.0141023880369,415.4,0.0106065461204
416.1,0.0373296711681,416.1,0.0156269169146,416.1,0.0156725413901,416.1,0.0172304875257,416.1,0.0247821774624
416.7,0.0308903639277,416.7,0.0155963988708,416.7,0.0162066071565,416.7,0.0185427634089,416.7,0.0203112840467
417.4,0.0507576104372,417.4,0.0156627756161,417.4,0.0178393224994,417.4,0.0238071259632,417.4,0.0342885481041
418.1,0.025229266804,418.1,0.0156192874037,418.1,0.0145433737697,418.1,0.0161470969711,418.1,0.0142229343099
418.7,0.0302647440299,418.7,0.0151767757687,418.7,0.0147570000763,418.7,0.0173983367666,418.7,0.0160234988937
419.4,0.0342778667887,419.4,0.0157741664759,419.4,0.0181750209812,419.4,0.0186495765621,419.4,0.0246448462654
420.1,0.0275791561761,420.1,0.0154399938964,420.1,0.0161913481346,420.1,0.0136598764019,420.1,0.0121934843977
420.7,0.0406103608759,420.7,0.015935912108,420.7,0.0170763714046,420.7,0.0238223849851,420.7,0.0292378118563
421.4,0.0306462195773,421.4,0.0151927977417,421.4,0.0164049744411,421.4,0.0196261539635,421.4,0.0237293049516
422.1,0.0333012893874,422.1,0.0152980849928,422.1,0.0152910658427,422.1,0.0215030136568,422.1,0.0218066681926
422.7,0.0290440222782,422.7,0.0156871900511,422.7,0.014360265507,422.7,0.0172762645914,422.7,0.0187243457694
423.4,0.0314549477379,423.4,0.0152378118563,423.4,0.0148638132296,423.4,0.0210605020218,423.4,0.0202960250248
424.1,0.030539406424,424.1,0.015291981384,424.1,0.0167559319448,424.1,0.0172457465476,424.1,0.0210742351415
424.7,0.0304631113146,424.7,0.0156154726482,424.7,0.0165880827039,424.7,0.0174288548104,424.7,0.0192126344701
425.4,0.035422293431,425.4,0.0157482261387,425.4,0.0169390402075,425.4,0.0204806591897,425.4,0.0284901197833
426.1,0.0409155413138,426.1,0.0158344396124,426.1,0.0170000762951,426.1,0.022357518883,426.1,0.029283588922
426.7,0.0353154802777,426.7,0.0149097428855,426.7,0.017305256733,426.7,0.0206332494087,426.7,0.0277424277104
427.4,0.0349492637522,427.4,0.0156040283818,427.4,0.0157946135653,427.4,0.0196414129854,427.4,0.0243244068055
428.1,0.0357732509346,428.1,0.0159168383307,428.1,0.0154436560616,428.1,0.0210910200656,428.1,0.0238361181048
428.7,0.0402746623941,428.7,0.0157436484321,428.7,0.0171984435798,428.7,0.0226016632334,428.7,0.0275135423819
429.4,0.036749828336,429.4,0.0156589608606,429.4,0.0164049744411,429.4,0.0201297016861,429.4,0.022340733959
430.1,0.0450507362478,430.1,0.0154537270161,430.1,0.0170763714046,430.1,0.0230289158465,430.1,0.0323506523232
430.7,0.051810482948,430.7,0.0161220721752,430.7,0.0166033417258,430.7,0.0194583047227,430.7,0.0244617380026
431.4,0.115974670024,431.4,0.0161831082628,431.4,0.0159624628061,431.4,0.0266300450141,431.4,0.0418570229648
432.1,0.496580453193,432.1,0.0165401693751,432.1,0.0236987869078,432.1,0.0776867322805,432.1,0.181843289845
432.7,0.941411459525,432.7,0.0195667963684,432.7,0.0480979629206,432.7,0.371453421836,432.7,0.75959563592
433.4,0.941411459525,433.4,0.0219067673762,433.4,0.117755397879,433.4,0.85025101091,433.4,0.942017242695
434.1,0.535948729686,434.1,0.0166813153277,434.1,0.0239124132143,434.1,0.0888410772869,434.1,0.210225070573
434.7,0.034232089723,434.7,0.015018844892,434.7,0.0131853208209,434.7,0.0162996871901,434.7,0.0183581292439
435.4,0.0428534370947,435.4,0.0157688258183,435.4,0.0185717555505,435.4,0.019549858854,435.4,0.0259876401923
436.1,0.029517051957,436.1,0.0149662012665,436.1,0.0147112230106,436.1,0.0155519951171,436.1,0.0149248493172
436.7,0.0392980849928,436.7,0.0156269169146,436.7,0.0167864499886,436.7,0.0214572365911,436.7,0.0268574044404
437.4,0.0311039902342,437.4,0.0151355764096,437.4,0.0168780041199,437.4,0.0152162966354,437.4,0.0202044708934
438.1,0.0471412222477,438.1,0.0163959716182,438.1,0.0158709086748,438.1,0.0277286945907,438.1,0.0363790341039
438.7,0.0432654306859,438.7,0.0159633783474,438.7,0.0179156176089,438.7,0.0255008773938,438.7,0.0303364614328
439.4,0.018728923476,439.4,0.0149593347066,439.4,0.0146807049668,439.4,0.0123323414969,439.4,0.00546425574121
440.1,0.0390997177081,440.1,0.0156322575723,440.1,0.0184191653315,440.1,0.0209079118029,440.1,0.0262165255207
440.7,0.0451575494011,440.7,0.0154033722438,440.7,0.0188769359884,440.7,0.0215640497444,440.7,0.0251636530098
441.4,0.0236575875486,441.4,0.0155986877241,441.4,0.015245288777,441.4,0.0110048065919,441.4,0.0087296864271
442.1,0.033789578088,442.1,0.0156131837949,442.1,0.0177630273899,442.1,0.0190157930877,442.1,0.0229816128786
442.7,0.0396948195621,442.7,0.0161297016861,442.7,0.016420233463,442.7,0.0199008163577,442.7,0.0238666361486
443.4,0.032767223621,443.4,0.0163814755474,443.4,0.0154894331273,443.4,0.0219760433356,443.4,0.0218829633021
444.1,0.0244357976654,444.1,0.0153781948577,444.1,0.0161455710689,444.1,0.0122865644312,444.1,0.0103318837263
444.7,0.02197909514,444.7,0.0160022888533,444.7,0.0157488364996,444.7,0.0108674753948,444.7,0.00801251239796
445.4,0.0429297322042,445.4,0.0159137865263,445.4,0.0160540169375,445.4,0.0236545357443,445.4,0.0323506523232
446.1,0.0362615396353,446.1,0.0152164492256,446.1,0.0178545815213,446.1,0.0248599984741,446.1,0.0254535744259
446.7,0.0162417029068,446.7,0.0150707255665,446.7,0.0160234988937,446.7,0.0102876325628,446.7,0.00805828946365
447.4,0.0380315861753,447.4,0.015597924773,447.4,0.0181597619593,447.4,0.0202822919051,447.4,0.0274830243381
448.1,0.0300053406577,448.1,0.0153652246891,448.1,0.0175646601053,448.1,0.0153536278325,448.1,0.016282902266
448.7,0.0400305180438,448.7,0.0158748760204,448.7,0.0168322270542,448.7,0.0249515526055,448.7,0.0260791943236
449.4,0.0415411612116,449.4,0.0157116044862,449.4,0.017747768368,449.4,0.0250888838025,449.4,0.0247364003967
450.1,0.0205600061036,450.1,0.0157810330358,450.1,0.0145738918135,450.1,0.0129884794385,450.1,0.0121934843977
450.8,0.0315312428473,450.8,0.0153621728847,450.8,0.0150011444266,450.8,0.0153383688106,450.8,0.0149706263828
451.4,0.0192782482643,451.4,0.0150287632563,451.4,0.0144823376822,451.4,0.0149568932631,451.4,0.0102861066606
452.1,0.0403204394598,452.1,0.0154476234073,452.1,0.0180682078279,452.1,0.0213046463722,452.1,0.0331746395056
452.7,0.028921950103,452.7,0.0150218966964,452.7,0.0166491187915,452.7,0.0159182116426,452.7,0.0216845960174
453.4,0.0346593423362,453.4,0.015461356527,453.4,0.0191515983825,453.4,0.0226321812772,453.4,0.0209826810101
454.1,0.0295780880446,454.1,0.0151927977417,454.1,0.0143297474632,454.1,0.0212741283284,454.1,0.0219439993896
454.7,0.0343999389639,454.7,0.0156505683986,454.7,0.0171374074922,454.7,0.0185732814527,454.7,0.0224933241779
455.4,0.0280216678111,455.4,0.0154331273365,455.4,0.0153063248646,455.4,0.0178255893797,455.4,0.019090562295
456.1,0.039404898146,456.1,0.0157711146715,456.1,0.0170763714046,456.1,0.0226932173648,456.1,0.02749828336
