"Run 1: Wavelength (nm)","Run 1: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)","Run 6: Wavelength (nm)","Run 6: Intensity (rel)"
374,0.0165758373388,374,0.0161344319829,374,0.0178756389715,374,0.0256206225681,374,0.0592370489052,374,0.133820096132
374.7,0.0155321202411,374.7,0.0160169375143,374.7,0.0173194476234,374.7,0.0253200198367,374.7,0.0591760128176,374.7,0.137619592584
375.3,0.0158624780652,375.3,0.015966582742,375.3,0.0164786755169,375.3,0.020004539559,375.3,0.052324711986,375.3,0.133286030365
376,0.0158594262608,376,0.0158765545129,376,0.015891966125,376,0.0176271839475,376,0.0428030823224,376,0.120148012512
376.6,0.0160555046921,376.6,0.0161008621347,376.6,0.0175582513161,376.6,0.0236789120317,376.6,0.0553002212558,376.6,0.136566720073
377.3,0.0157075989929,377.3,0.0160672922866,377.3,0.0163756771191,377.3,0.0188524834058,377.3,0.0498985275044,377.3,0.130386816205
377.9,0.0156190966659,377.9,0.0157270160983,377.9,0.0159148546578,377.9,0.0163698405432,377.9,0.043901731899,377.9,0.11836270695
378.6,0.016030327306,378.6,0.0157842374304,378.6,0.0167747005417,378.6,0.0197558175021,378.6,0.0441611352712,378.6,0.127197680629
379.2,0.0165430304417,379.2,0.0153371480888,379.2,0.0176757457847,379.2,0.0226535057603,379.2,0.061174944686,379.2,0.151093308919
379.9,0.0160577935454,379.9,0.0160032043946,379.9,0.0173171587701,379.9,0.0237040894179,379.9,0.0696437018387,379.9,0.185166704814
380.5,0.0155298313878,380.5,0.0158933394369,380.5,0.0175262073701,380.5,0.0258861295491,380.5,0.0631586175326,380.5,0.156617074846
381.1,0.0158197528038,381.1,0.0164029907683,381.1,0.0172347600519,381.1,0.0223788433661,381.1,0.0562157625696,381.1,0.130341039139
381.8,0.0157640573739,381.8,0.0160497444114,381.8,0.0161773098344,381.8,0.0184420157168,381.8,0.0420248722057,381.8,0.124863050278
382.4,0.0161920729381,382.4,0.0166196688792,382.4,0.0191268787671,382.4,0.0299106965743,382.4,0.0701167315175,382.4,0.156372930495
383.1,0.0159761577783,383.1,0.0152990005341,383.1,0.0167426565957,383.1,0.0187532997635,383.1,0.0539574273289,383.1,0.159272144656
383.7,0.0164446097505,383.7,0.0161626611734,383.7,0.0163894102388,383.7,0.0193499275196,383.7,0.0636011291676,383.7,0.176316472114
384.4,0.0158037308309,384.4,0.0155545891508,384.4,0.0174087129015,384.4,0.02355226215,384.4,0.0569481956207,384.4,0.135132372015
385,0.0161333257038,385,0.0159810788128,385,0.0169295796139,385,0.0217616159304,385,0.0544457160296,385,0.142121004044
385.7,0.0161241702907,385.7,0.0164632639048,385.7,0.0158301670863,385.7,0.0196360341802,385.7,0.0522941939422,385.7,0.150406652934
386.3,0.0157541390097,386.3,0.0159543755245,386.3,0.0154647135119,386.3,0.016577363241,386.3,0.0535454337377,386.3,0.155335317006
387,0.0160844968338,387,0.0159978637369,387,0.0165702296483,387,0.0208636224918,387,0.0604882887007,387,0.159577325093
387.6,0.0163255893797,387.6,0.0158078889143,387.6,0.0181777676051,387.6,0.0255977340352,387.6,0.0671107042039,387.6,0.180024414435
388.3,0.0163271152819,388.3,0.0163160143435,388.3,0.0183265430686,388.3,0.0245021362631,388.3,0.0831021591516,388.3,0.227235828183
388.9,0.0161951247425,388.9,0.0159673456931,388.9,0.0191291676204,388.9,0.0307232394903,388.9,0.11873197528,388.9,0.31514305333
389.6,0.0159143587396,389.6,0.0158124666209,389.6,0.0175727473869,389.6,0.023745288777,389.6,0.060732433051,389.6,0.16067597467
390.2,0.0159731059739,390.2,0.0157003128099,390.2,0.0164672312505,390.2,0.0195681315328,390.2,0.0430319676509,390.2,0.122757305257
390.8,0.016070000763,390.8,0.0157392233158,390.8,0.0167441824979,390.8,0.0206087968261,390.8,0.0459159227893,390.8,0.130600442512
391.5,0.0164476615549,391.5,0.015129625391,391.5,0.0170440222782,391.5,0.0217173647669,391.5,0.0502647440299,391.5,0.120376897841
392.1,0.0157137026017,392.1,0.0153096818494,392.1,0.016342870222,392.1,0.0188707942321,392.1,0.0443900205997,392.1,0.123123521782
392.8,0.016070763714,392.8,0.0159429312581,392.8,0.0173904020752,392.8,0.0195490577554,392.8,0.0452597848478,392.8,0.12318455787
393.4,0.0158479819944,393.4,0.0152104982071,393.4,0.0155936522469,393.4,0.0160371938659,393.4,0.0389425497826,393.4,0.111755550469
394.1,0.0155519569696,394.1,0.0154729533837,394.1,0.0172301823453,394.1,0.0194086747539,394.1,0.051134508278,394.1,0.13798580911
394.7,0.0158960479133,394.7,0.0161557946136,394.7,0.0179542229343,394.7,0.0236552605478,394.7,0.0594201571679,394.7,0.144211490043
395.4,0.0158182269017,395.4,0.015628595407,395.4,0.0179389639124,395.4,0.0235942244602,395.4,0.0619378957809,395.4,0.16694743267
396,0.0157755016403,396,0.0162694743267,396,0.0188331425956,396,0.0288677424277,396,0.114505226215,396,0.302661173419
396.7,0.0171182955673,396.7,0.017269703212,396.7,0.0209648279545,396.7,0.0420767147326,396.7,0.280172426947,396.7,0.655495536736
397.3,0.0165003051804,397.3,0.0167135118639,397.3,0.0198760967422,397.3,0.0345799572747,397.3,0.127154955367,397.3,0.312747386893
398,0.0160745784695,398,0.0160878919661,398,0.0174766155489,398,0.0226809719997,398,0.0599542229343,398,0.157639429313
398.6,0.0157755016403,398.6,0.0159299610895,398.6,0.0177383077745,398.6,0.0246982146944,398.6,0.0692622262913,398.6,0.17427176318
399.3,0.0156374074922,399.3,0.0158094148165,399.3,0.0162757305257,399.3,0.0177751964599,399.3,0.0509971770809,399.3,0.147034409094
399.9,0.0157251468681,399.9,0.0157750820172,399.9,0.0161956206607,399.9,0.0185961318379,399.9,0.0495933470665,399.9,0.138031586175
400.5,0.0159456397345,400.5,0.0156278324559,400.5,0.0171256580453,400.5,0.0225886549172,400.5,0.0546593423362,400.5,0.135468070497
401.2,0.0158525597009,401.2,0.0156614023041,401.2,0.0172202639811,401.2,0.0206576256962,401.2,0.0493034256504,401.2,0.131805905241
401.8,0.0155626382849,401.8,0.0155210193027,401.8,0.0154631876097,401.8,0.0154092851148,401.8,0.0451377126726,401.8,0.116852063783
402.5,0.016391966125,402.5,0.0157376974136,402.5,0.018941481651,402.5,0.0295849164569,402.5,0.069750514992,402.5,0.152588693065
403.1,0.015853322652,403.1,0.0158124666209,403.1,0.0172950331884,403.1,0.022265163653,403.1,0.0560479133288,403.1,0.140610360876
403.8,0.0157945754177,403.8,0.0158834210727,403.8,0.0163291371023,403.8,0.0197779430838,403.8,0.0470908674754,403.8,0.127441824979
404.4,0.0155916304265,404.4,0.0156316472114,404.4,0.0148696116579,404.4,0.0166826504921,404.4,0.0407583733883,404.4,0.125656519417
405.1,0.0158022049287,405.1,0.0166051728084,405.1,0.0173308918898,405.1,0.0227656595712,405.1,0.0580010681315,405.1,0.14941481651
405.7,0.0163133821622,405.7,0.0160810254063,405.7,0.0174392309453,405.7,0.0218562218662,405.7,0.0673090714885,405.7,0.180115968566
406.4,0.0161882581827,406.4,0.0150930037385,406.4,0.0171088731212,406.4,0.02188673991,406.4,0.0726344701305,406.4,0.196321049821
407,0.0158441672389,407,0.0156369878691,407,0.0161971465629,407,0.0194643701839,407,0.0543389028763,407,0.154496070802
407.7,0.0158250934615,407.7,0.0157918669413,407.7,0.0178672465095,407.7,0.0230998321508,407.7,0.065767910277,407.7,0.174210727092
408.3,0.0164461356527,408.3,0.0167394522011,408.3,0.0175201037613,408.3,0.0244136339361,408.3,0.103732356756,408.3,0.285647364004
409,0.0169100099184,409,0.017285725185,409,0.0215034714275,409,0.0510619897765,409,0.364692149233,409,0.781901274128
